Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,-1.2753,6.708078,7.44579,-0.7,-0.2,0.1,-0.742615711090346,3.90583971910153,9.28748767226717,19.0320236496422,3.54734841269127,0.59527032759893,0,0,1,2.68367148256508e-06,0,0
0.005,-1.2753,6.6708,7.373196,-0.5,-0.4,-0.1,-0.514378989526816,2.67927866554535,9.64608014023847,26.446486554837,4.85199715843168,1.13799057206835,0,0,1,1.5433553755643e-06,0,0
0.01,-1.2753,6.6708,7.408512,-0.8,-0.3,-0.1,-0.386006462294758,2.01039442319994,9.839782825773,30.3118044949424,5.49997140904051,1.48605006486736,0,0,1,8.79003085202289e-07,0,0
0.015,-1.2753,6.6708,7.373196,-0.7,0,-0.1,-0.31091335421222,1.62000361408753,9.88781589436878,32.7095128380483,5.88982231128304,1.72393631889536,0,0,1,4.57124890866132e-07,0,0
0.02,-1.312578,6.708078,7.408512,-0.5,0,-0.3,-0.284512624224812,1.35322888049747,9.98474064149672,34.3275087360943,6.17672931871158,1.8930282203644,0,0,1,1.54135253042364e-07,0,0
0.025,-1.238022,6.6708,7.408512,-0.3,-0.3,0.1,-0.180559914369147,1.12889724533376,9.98054659291909,35.4659001479159,6.31701046304488,2.01662145361828,0,0,1,1.15231737951194e-07,0,0
0.03,-1.238022,6.635484,7.408512,-0.3,-0.2,0,-0.158168888906815,0.956554119818315,9.97538887759894,36.3003532916976,6.42302587990578,2.10878866736961,0,0,1,3.15607077565835e-07,0,0
0.035,-1.200744,6.6708,7.44579,-0.5,-0.2,0,-0.102298938310327,0.85214853879152,10.0321745056938,36.9489476021821,6.47542533561983,2.18132930947929,0,0,1,4.65739885148338e-07,0,0
0.04,-1.2753,6.708078,7.44579,-0.4,-0.3,-0.2,-0.156524687544693,0.786577545231708,10.0708135250192,37.4832016942114,6.55966819613814,2.24050601750237,0,0,1,5.65130243444043e-07,0,0
0.045,-1.312578,6.6708,7.408512,-0.2,-0.1,-0.2,-0.179959068331907,0.703093262801142,10.02904573216,37.9182163754092,6.65269949194319,2.2895775952441,0,0,1,6.78541635727371e-07,0,0
0.05,-1.238022,6.635484,7.44579,0.3,-0.2,0,-0.0940017804472919,0.5969303651465,10.0317980898381,38.256090710849,6.69081569087794,2.32804538614809,0,0,1,5.15081753452902e-07,0,0
0.055,-1.238022,6.598207,7.44579,0.1,-0.1,0,-0.0877047194099765,0.520834249147678,10.0114865219178,38.5270720642027,6.72443496068201,2.35933006401086,0,0,1,4.0691943856557e-07,0,0
0.06,-1.238022,6.6708,7.44579,0.1,0,0.2,-0.0783711862164618,0.53348398406212,10.0588922169643,38.7825471576609,6.75033672705743,2.39001900820674,0,0,1,2.85953182147638e-07,0,0
0.065,-1.238022,6.6708,7.481106,0.7,-0.3,0,-0.0690607287172363,0.474351437654039,10.0880840314236,38.9961862186417,6.77067752619943,2.41382132139166,0,0,1,2.42943548224546e-07,0,0
0.07,-1.238022,6.708078,7.373196,0.6,0,-0.2,-0.0747301594684517,0.532015586732955,10.0302743232537,39.2207118442018,6.79276703257823,2.43921016917494,0,0,1,1.36299944334325e-07,0,0
0.075,-1.312578,6.708078,7.373196,1.1,0.1,-0.4,-0.138951542548444,0.494505312498009,10.0409834020039,39.4204242432538,6.83984467623607,2.46103889147407,0,0,1,1.14451213132677e-07,0,0
