Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,0.037278,9.821773,-0.217782,0.1,0.8,-0.3,0.0232784728588185,6.09371829241868,7.70597813374009,52.9336549398555,-0.171038584138253,-0.0846607726726307,0,0,1,4.11328985964889e-06,0,0
0.005,0.074556,9.786456,-0.182466,0,0.3,-0.5,0.0378850976482972,3.75841063962784,9.03805773723184,68.4874589476197,-0.294059432904051,-0.148094153142635,0,0,1,2.08003477949908e-06,0,0
0.01,0.074556,9.821773,-0.10791,-0.1,0.4,-0.7,0.0263683863215347,2.56707057301287,9.4812383901123,75.4788841155305,-0.341594586431057,-0.186106352908489,0,0,1,9.93950772342549e-07,0,0
0.015,0.037278,9.786456,-0.182466,0.3,0.5,-0.4,-0.0075071977113331,1.96372037928001,9.58922053372217,79.4950412464638,-0.309969141510715,-0.206934285634129,0,0,1,3.94242937075834e-07,0,0
0.02,0.074556,9.859051,-0.182466,0.2,0.7,-0.4,0.0235312608374912,1.56273964269069,9.7363766436914,81.9410809027741,-0.335191634182709,-0.217569844581867,0,0,1,2.58343375595949e-08,0,0
0.025,0.074556,9.821773,-0.182466,0,0.3,-0.3,0.0196196766164234,1.27432350291545,9.7407285138242,83.6103549596126,-0.352749240697896,-0.226292264897891,0,0,1,3.35800761848378e-07,0,0
0.03,0.074556,9.821773,-0.217782,-0.1,0.5,-0.3,0.0168152088789803,1.09930266876172,9.76275900303765,84.8451734529417,-0.364963435826556,-0.231693038746017,0,0,1,5.49473485113491e-07,0,0
0.035,0.074556,9.786456,-0.145188,-0.2,0.7,-0.4,0.0145787459710302,0.876811601337619,9.74845362446484,85.7099420605396,-0.373558591713911,-0.233949343221289,0,0,1,7.82098873855646e-07,0,0
0.04,0.037278,9.821773,-0.217782,0.1,0.6,-0.4,-0.0193617231791972,0.828160006208624,9.78927063882336,86.4350783435536,-0.351444297088316,-0.235678067691032,0,0,1,8.81044524363974e-07,0,0
0.045,0.037278,9.749179,-0.182466,0,0.3,-0.3,-0.0166237442134726,0.695510368587538,9.72610732219199,86.982404323226,-0.334516859619897,-0.237543044072412,0,0,1,1.03257078534317e-06,0,0
0.05,0.037278,9.821773,-0.145188,0,0.2,-0.6,-0.0148766008414284,0.590336808535483,9.80515044287402,87.4018343780187,-0.319155879714946,-0.239083796521838,0,0,1,6.98687845956487e-07,0,0
0.055,0.037278,9.786456,-0.182466,-0.3,0.1,-0.4,-0.0127579523268054,0.56339644545055,9.77199192643353,87.7687738944231,-0.307249912881821,-0.240682551096626,0,0,1,4.79200930809683e-07,0,0
0.06,0.037278,9.821773,-0.182466,-0.3,0.1,-0.7,-0.0111891360282988,0.512252748610944,9.81016718913314,88.0755133534968,-0.295702310444654,-0.241931660509716,0,0,1,3.63385916945199e-07,0,0
0.065,0.074556,9.786456,-0.145188,0,0,-0.3,0.0240547430117519,0.432267601124974,9.77823733004944,88.318081080729,-0.306671258844642,-0.243253961976642,0,0,1,3.08860036018072e-07,0,0
0.07,0.037278,9.896328,-0.145188,-0.1,0,0,-0.0126935836212064,0.400916453615723,9.88933172455889,88.5193235774282,-0.299424524649901,-0.244321011191206,0,0,1,2.44959100766774e-07,0,0
0.075,0.074556,9.786456,-0.182466,-0.2,0.4,-0.1,0.0234766239761863,0.402558755936328,9.78013132705148,88.7105031678489,-0.309263930365432,-0.24335452418383,0,0,1,1.79126631383275e-07,0,0
0.08,0.037278,9.821773,-0.182466,-0.3,0.4,-0.1,-0.0129163395861446,0.375002498189954,9.8163697285958,88.8768909234674,-0.302226570701102,-0.24226140914217,0,0,1,1.44699653671057e-07,0,0
0.085,0.037278,9.749179,-0.145188,-0.1,0.3,-0.3,-0.0116076929816491,0.313655230035346,9.74527814055628,89.0100478836555,-0.295187474527208,-0.241486148668685,0,0,1,1.48363292371368e-07,0,0
0.09,0,9.859051,-0.217782,-0.2,0.6,-0.3,-0.0457410409122607,0.363497710730732,9.85464828350534,89.1541342384782,-0.274762226577327,-0.239232218392469,0,0,1,8.08954638128992e-08,0,0
