Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,-1.604916,5.446512,8.169768,0.3,0.2,-0.3,-0.814041443557963,2.76296984815673,9.5230610442951,17.2824579619202,5.0032518434819,0.759410680217866,0,0,1,1.94426551159319e-06,0,0
0.005,-1.53036,5.446512,8.134453,0,0.6,-0.4,-0.474834717776548,1.77491248855375,9.73653110474788,23.2945926235582,6.49045294270298,1.36119145537973,0,0,1,1.02425089229189e-06,0,0
0.01,-1.604916,5.48379,8.061858,-0.1,0.5,-0.4,-0.399581657698441,1.32021286950963,9.78461215487524,26.3740682983189,7.329864471018,1.73109017017433,0,0,1,5.77347702273441e-07,0,0
0.015,-1.642194,5.411196,8.169768,0.1,0.3,-0.4,-0.326804112567506,0.928743163227488,9.88704140107865,28.0177308071175,7.84720797988375,1.94701594770387,0,0,1,2.09764453281577e-07,0,0
0.02,-1.642194,5.446512,8.169768,0,0.5,-0.7,-0.262017895605904,0.774235453250726,9.92160820426386,29.114371637904,8.17643431625645,2.09800783831018,0,0,1,2.90901892273283e-08,0,0
0.025,-1.567638,5.411196,8.134453,-0.2,0.1,-0.4,-0.161761237386835,0.635286651548386,9.87309985926976,29.8705113030955,8.3389996079907,2.20527514903201,0,0,1,1.51366557628885e-07,0,0
0.03,-1.604916,5.446512,8.169768,0,0.4,-0.5,-0.163281699272757,0.551544760570908,9.93249691521691,30.4344395548785,8.48365755144301,2.28662182232428,0,0,1,2.5310387427679e-07,0,0
0.035,-1.604916,5.446512,8.134453,-0.2,0.8,-0.4,-0.145555507119941,0.494168497747661,9.90677470383726,30.8786431750843,8.59863131389465,2.35305918533905,0,0,1,3.3677791669585e-07,0,0
0.04,-1.604916,5.48379,8.097175,0,0.2,-0.7,-0.131278877261133,0.480098604837046,9.89768772480722,31.2638907203801,8.68869827419111,2.408504252624,0,0,1,3.87334044637121e-07,0,0
0.045,-1.604916,5.446512,8.134453,0.2,0.4,-0.4,-0.112923247767809,0.382095231066243,9.91215544253211,31.5415997352606,8.75984431714663,2.44981817879463,0,0,1,4.91523318980443e-07,0,0
0.05,-1.642194,5.48379,8.061858,0,0.9,-0.6,-0.142358141208851,0.404840262451395,9.8781651550999,31.8102685135735,8.8459420469171,2.49074634440456,0,0,1,2.85370073673344e-07,0,0
0.055,-1.604916,5.48379,8.134453,0.1,0.7,-0.6,-0.0849276425966999,0.334367562093446,9.93468768353126,32.012474281961,8.89195822718474,2.521156207573,0,0,1,2.36481764015862e-07,0,0
0.06,-1.679472,5.446512,8.134453,-0.1,0.6,-0.8,-0.145593724208577,0.273696298944245,9.92765519030311,32.1663725273373,8.96943933634278,2.54335157268338,0,0,1,1.89880469050757e-07,0,0
0.065,-1.604916,5.48379,8.097175,-0.2,0.4,-0.3,-0.06958540195545,0.301885020492397,9.90535079732253,32.3222429648869,9.00044369682346,2.56765167281252,0,0,1,1.32610239573445e-07,0,0
0.07,-1.604916,5.411196,8.097175,-0.2,0.4,0,-0.0670812519959199,0.222127643560017,9.86748194392542,32.4306754652381,9.02949359565943,2.58585666102602,0,0,1,1.45462578796528e-07,0,0
0.075,-1.604916,5.446512,8.134453,0,0.2,-0.4,-0.0550218585455512,0.215623573593672,9.91766368717965,32.5293035109848,9.05165877421353,2.60021860847194,0,0,1,1.20574785357711e-07,0,0
0.08,-1.642194,5.446512,8.169768,-0.2,0,-0.7,-0.0801162810728502,0.18223725492774,9.95322933715623,32.6064127427582,9.08352683760486,2.60961581025741,0,0,1,1.11538310213158e-07,0,0
0.085,-1.567638,5.411196,8.169768,-0.2,0,-0.6,-0.00743333543174363,0.145971910007463,9.92281598994444,32.663643607435,9.08545007363502,2.6163152458185,0,0,1,1.27182307117988e-07,0,0
0.09,-1.604916,5.446512,8.097175,0,0.2,0,-0.0505533284998898,0.19982463093088,9.88746710698326,32.7407856412023,9.10187485881093,2.62904093970299,0,0,1,5.49906938804322e-08,0,0
