Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,0.822078,9.419562,-2.32497,0,0,-0.4,0.618386841264401,7.08276659737958,6.65292875750396,56.813890127726,-4.17740404419431,-2.26207667746335,0,0,1,4.79905466177175e-06,0,0
0.005,0.822078,9.346969,-2.397564,-0.1,0,-0.7,0.424087494887202,4.80379348077572,8.39843276152628,74.4121498965475,-4.81852020993569,-3.65460103399477,0,0,1,2.72194380818607e-06,0,0
0.01,0.859356,9.419562,-2.360286,-0.1,0,-0.8,0.331156324790531,3.49004143946903,9.09656733321511,82.9083103879644,-5.02190088343576,-4.38546124982654,0,0,1,1.4714817505946e-06,0,0
0.015,0.7848001,9.419562,-2.32497,-0.2,0.4,-1.1,0.197096641068592,2.67622912706971,9.35673530368404,87.8093559144829,-4.9832900374947,-4.81163895379487,0,0,1,6.53898913087919e-07,0,0
0.02,0.859356,9.30969,-2.32497,-0.2,0.7,-0.9,0.228836349472252,2.17140565018236,9.3833329664492,90.8712829169924,-5.03587849000301,-5.07572829971086,0,0,1,1.17596784134423e-07,0,0
0.025,0.822078,9.456841,-2.360286,-0.2,0.7,-1.1,0.15318215899056,1.85255818051314,9.60328940275893,93.0198733095633,-5.01400605059842,-5.26036037509693,0,0,1,2.68205375668262e-07,0,0
0.03,0.822078,9.384247,-2.32497,-0.3,0.8,-1.1,0.13505257352687,1.56095364571841,9.57551951667873,94.5888134852242,-4.99835366833273,-5.39307061847831,0,0,1,6.04649578947376e-07,0,0
0.035,0.7848001,9.384247,-2.360286,-0.2,0.9,-1.4,0.0890700283089074,1.39509948278279,9.60711803398716,95.8158438413462,-4.95352672695791,-5.49449366256991,0,0,1,8.36717994854962e-07,0,0
0.04,0.7848001,9.30969,-2.252376,-0.4,0.9,-1.2,0.0777095864465793,1.14821298337785,9.54122659323281,96.7029449478882,-4.92239332478948,-5.56591788017924,0,0,1,1.10797497398897e-06,0,0
0.045,0.7475221,9.384247,-2.32497,-0.2,1,-0.9,0.036213253539949,1.08966773313441,9.63533493862726,97.4535932244201,-4.87019040962128,-5.62457742047469,0,0,1,1.23654342628632e-06,0,0
0.05,0.672966,9.384247,-2.360286,-0.1,0.7,-1,-0.03074031360715,1.023873342345,9.64565515700803,98.0920802481453,-4.78331719631765,-5.6742149215734,0,0,1,8.35864225114132e-07,0,0
0.055,0.7475221,9.456841,-2.32497,0,0.7,-1.1,0.0309421992282802,0.886139563977247,9.72676286046034,98.5992779198359,-4.7457338852415,-5.71209691691541,0,0,1,6.36368588307262e-07,0,0
0.06,0.7475221,9.419562,-2.32497,0.1,0.4,-1.2,0.0325128856321193,0.817868860478758,9.6965177513404,99.0342923145204,-4.71397475411235,-5.74504001268502,0,0,1,4.8551526964417e-07,0,0
0.065,0.7848001,9.529434,-2.397564,0,0.4,-0.8,0.0606475506029511,0.802340860324469,9.82481082310859,99.4268806548188,-4.70052559914711,-5.77465082535279,0,0,1,3.546931449987e-07,0,0
0.07,0.7848001,9.529434,-2.32497,0,0.4,-1.1,0.0512496259590202,0.678051342033021,9.81677792922007,99.7372543314736,-4.68752619041348,-5.79717223770771,0,0,1,3.3569642814849e-07,0,0
0.075,0.7848001,9.492156,-2.360286,-0.1,0.1,-1.6,0.0551782230726311,0.669650912764141,9.78960723143808,100.025469804631,-4.67421475417026,-5.81887389523982,0,0,1,2.53153380915745e-07,0,0
0.08,0.7475221,9.529434,-2.287692,-0.1,0.1,-0.8,0.00843154457650569,0.557602218817597,9.81282044123065,100.249479972105,-4.65093273689214,-5.83593150345791,0,0,1,2.63081306023948e-07,0,0
0.085,0.7475221,9.492156,-2.32497,0,-0.4,-0.6,0.0148653055148475,0.56361154184061,9.78506113275847,100.465013354214,-4.63134767141507,-5.85479470260451,0,0,1,1.95578654821419e-07,0,0
0.09,0.7475221,9.492156,-2.360286,-0.2,-0.4,-0.6,0.0173268927684226,0.560760312740983,9.79367206264137,100.684049662069,-4.61233958869591,-5.87393590602254,0,0,1,1.53343330049388e-07,0,0
0.095,0.7848001,9.566712,-2.32497,0,-0.5,-0.7,0.0419876648637549,0.478589328366342,9.8647130966682,100.862893494099,-4.60573477194831,-5.89010298622816,0,0,1,1.69258959624625e-07,0,0
0.1,0.7475221,9.492156,-2.32497,-0.1,-0.1,-0.7,0.0121622181453379,0.46655604239569,9.79017251426032,101.033647201394,-4.58905669964845,-5.90365632998848,0,0,1,1.37024980150993e-07,0,0
0.105,0.7848001,9.566712,-2.360286,0,-0.3,-0.6,0.042854941112476,0.456298529211921,9.87414780099839,101.193395106551,-4.58430955737402,-5.91732168774805,0,0,1,1.11835825781254e-07,0,0
0.11,0.822078,9.492156,-2.360286,-0.2,-0.8,-1,0.0833355001637496,0.440932741339156,9.8054281538464,101.343365530101,-4.59118245551107,-5.93233360547371,0,0,1,1.00586687340958e-07,0,0
0.115,0.859356,9.492156,-2.397564,0,-0.4,-0.6,0.117586159375088,0.448698730828753,9.81695850766642,101.491420412892,-4.61053233871815,-5.94557181821733,0,0,1,8.31571704952435e-08,0,0
0.12,0.7848001,9.492156,-2.397564,0,-0.2,-0.8,0.0421437788264147,0.433386412867966,9.81201559204018,101.626428667699,-4.60548087619763,-5.95659578618507,0,0,1,5.56772240060602e-08,0,0
0.125,0.822078,9.529434,-2.360286,-0.1,-0.1,-0.8,0.0693786629568778,0.367305867741687,9.84465070994827,101.736623271947,-4.61060464391376,-5.96516965836731,0,0,1,8.45506394792888e-08,0,0
0.13,0.822078,9.566712,-2.360286,-0.1,-0.1,-0.4,0.0629580271993904,0.343333513233968,9.8816445552512,101.835091389236,-4.61617254072588,-5.97321053639335,0,0,1,8.49788996432391e-08,0,0
