Time,Label1,Label2,LEFT_TA,LEFT_TS,LEFT_BF,LEFT_RF,RIGHT_TA,RIGHT_TS,RIGHT_BF,RIGHT_RF
11.6,1,1,17,0,12,4,3.0,-2.0,4,7
11.600999999999999,1,1,28,0,3,20,2.0,-3.0,9,14
11.602,1,1,5,-1,3,24,-4.0,-2.0,10,12
11.603,1,1,6,2,10,11,-5.0,-5.0,9,6
11.604000000000001,1,1,3,5,-1,0,0.0,2.0,3,0
11.605,1,1,2,0,-3,0,0.0,-4.0,-10,4
11.606,1,1,2,-1,-5,4,0.0,-6.0,-12,-7
11.607000000000001,1,1,-7,0,-13,-14,5.0,-12.0,-13,-11
11.607999999999999,1,1,0,-2,-32,-14,0.0,-16.0,-12,-12
11.609000000000002,1,1,-3,0,-28,-12,0.0,-12.0,-8,-7
11.61,1,1,-1,1,-9,-14,-4.0,-15.0,2,-16
11.610999999999999,1,1,-5,2,14,-8,-6.0,-5.0,2,-12
11.612,1,1,0,1,35,-16,-8.0,-2.0,3,-6
11.613,1,1,-6,0,29,-10,-3.0,-2.0,0,-1
11.614,1,1,-7,-1,1,17,-5.0,4.0,1,-6
11.615,1,1,-7,-7,-5,28,-1.0,3.0,8,6
11.616,1,1,-7,-4,-4,22,-1.0,5.0,7,-2
11.617,1,1,-7,-1,-1,1,-3.0,7.0,0,0
11.618,1,1,-5,-4,1,6,-7.0,7.0,1,6
11.619000000000002,1,1,-2,-3,6,12,-4.0,-2.0,15,6
11.62,1,1,12,-2,0,13,-5.0,-7.0,13,7
11.620999999999999,1,1,9,1,-2,-6,0.0,-22.0,8,14
11.622,1,1,-3,0,0,-4,-7.0,-38.0,5,16
11.623,1,1,-37,-4,2,3,-9.0,-28.0,8,19
11.624,1,1,-7,8,1,15,-10.0,-14.0,15,14
11.625,1,1,-16,2,7,22,-5.0,-21.0,8,16
11.626,1,1,33,0,11,23,0.0,-21.0,-2,11
11.627,1,1,21,-4,1,10,-10.0,-12.0,0,1
11.628,1,1,17,0,2,-2,-16.0,-7.0,5,-18
11.629000000000001,1,1,-54,-3,-9,-14,-1.0,1.0,16,-26
11.63,1,1,-41,-3,-7,-14,-5.0,25.0,26,-18
11.630999999999998,1,1,-14,0,-17,-26,-11.0,24.0,22,-8
11.632,1,1,-7,3,-15,-19,-9.0,30.0,23,11
11.633,1,1,5,2,-16,-10,0.0,41.0,11,19
11.634,1,1,6,0,-20,-5,12.0,35.0,-2,19
11.635,1,1,7,2,-14,-3,15.0,26.0,-24,-7
11.636,1,1,8,0,-7,-11,7.0,13.0,-42,-22
11.637,1,1,9,0,-16,-11,14.0,9.0,-28,-31
11.638,1,1,-7,1,-18,-18,11.0,12.0,-15,-34
11.639000000000001,1,1,-2,-6,-10,-19,11.0,10.0,-3,-29
11.64,1,1,0,-3,-17,-2,12.0,13.0,3,-19
11.640999999999998,1,1,-7,0,-8,9,14.0,0.0,10,-6
11.642000000000001,1,1,-1,1,4,15,10.0,-1.0,9,10
11.642999999999999,1,1,6,-3,24,26,3.0,-2.0,-3,14
11.644,1,1,15,-2,38,22,4.0,0.0,-16,28
11.645,1,1,18,-6,52,2,4.0,4.0,-14,15
11.645999999999999,1,1,6,-2,36,-11,8.0,-1.0,-12,-3
11.647,1,1,9,-1,2,-18,10.0,-4.0,-15,4
11.648,1,1,-4,0,-7,-26,9.0,-3.0,-16,6
11.649000000000001,1,1,0,6,-16,-6,3.0,-1.0,-4,18
11.65,1,1,-4,3,-36,2,1.0,0.0,2,8
11.651,1,1,-3,0,-63,8,0.0,-1.0,-2,-2
