,train,valid,test,rest data
only_IEMG,0.9440909090909091,0.9092727272727272,0.92,0.9065458952081664
only_SSI,0.9371818181818182,0.9089090909090909,0.9118545454545455,0.9080041900301928
only_WL,0.9484090909090909,0.9169090909090909,0.8141090909090909,0.8691847926551235
only_ZC,0.8581363636363636,0.84,0.7741090909090909,0.7696921149382792
only_SSC,0.8645909090909091,0.8416363636363636,0.8186181818181818,0.8077104771294186
only_WAMP,0.9201818181818182,0.8918181818181818,0.8116363636363636,0.8573130404420071
only_skew,0.7454090909090909,0.7194545454545455,0.718690909090909,0.6932240639184998
only_Acti,0.9369545454545455,0.9085454545454545,0.92,0.9048411280218539
only_AR,0.8632272727272727,0.8392727272727273,0.7566545454545455,0.7992687986526178
only_HIST,0.9884545454545455,0.9438181818181818,0.9354181818181818,0.9234908702528396
only_MDF,0.876,0.8605454545454545,0.8635636363636363,0.8305707889169593
