,train,valid,test,rest data
LEFT_TA_LEFT_TS,0.912545 ,0.881273 ,0.789818 ,0.782118 
LEFT_TA_LEFT_BF,0.931636 ,0.906909 ,0.904873 ,0.864276 
LEFT_TA_LEFT_RF,0.915045 ,0.884545 ,0.859200 ,0.898761 
LEFT_TS_LEFT_BF,0.933955 ,0.901636 ,0.848727 ,0.824697 
LEFT_TS_LEFT_RF,0.933045 ,0.884182 ,0.848582 ,0.856040 
LEFT_BF_LEFT_RF,0.927545 ,0.898909 ,0.876073 ,0.868178 
RIGHT_TA_RIGHT_TS,0.928909 ,0.902000 ,0.865164 ,0.850987 
RIGHT_TA_RIGHT_BF,0.938591 ,0.906000 ,0.872582 ,0.864995 
RIGHT_TA_RIGHT_RF,0.928455 ,0.902545 ,0.877818 ,0.857539 
RIGHT_TS_RIGHT_BF,0.945182 ,0.906182 ,0.900800 ,0.850289 
RIGHT_TS_RIGHT_RF,0.940409 ,0.909091 ,0.839709 ,0.885657 
RIGHT_BF_RIGHT_RF,0.948091 ,0.913273 ,0.857455 ,0.848029 
