,train,valid,test,rest data
drop_IEMG,0.9933636363636363,0.9570909090909091,0.9665454545454546,0.9628032123564811
drop_SSI,0.9998636363636364,0.9641818181818181,0.9649454545454546,0.9642820465421981
drop_WL,0.9895454545454545,0.9570909090909091,0.9642181818181819,0.9667467701850596
drop_ZC,0.9984545454545455,0.9590909090909091,0.9632,0.9629880666296958
drop_SSC,1.0,0.9641818181818181,0.9655272727272727,0.9655349477273194
drop_WAMP,0.9998636363636364,0.9630909090909091,0.9675636363636364,0.9668700063672028
drop_skew,0.9989545454545454,0.9618181818181818,0.9630545454545455,0.9637480230862447
drop_Acti,0.9855,0.952,0.9697454545454546,0.964877688089223
drop_AR,0.9998636363636364,0.9638181818181818,0.9643636363636363,0.9635220900856492
drop_HIST,0.9913636363636363,0.9543636363636364,0.9608727272727273,0.9623308069915995
drop_MDF,1.0,0.9649090909090909,0.9623272727272727,0.9608930515332635
