,train,valid,test,rest data
LEFT,0.958181798,0.925272703,0.932799995,0.935483992
RIGHT,0.996181846,0.937454522,0.916945457,0.987291992
LEFT_TA_LEFT_TS,0.936136364,0.873454545,0.817745455,0.865102639
LEFT_TA_LEFT_BF,0.919136364,0.882909091,0.888727273,0.818181818
LEFT_TA_LEFT_RF,0.890818182,0.863272727,0.863418182,0.861192571
LEFT_TS_LEFT_BF,0.945545455,0.887090909,0.860072727,0.885630499
LEFT_TS_LEFT_RF,0.926681818,0.865272727,0.837527273,0.906158358
LEFT_BF_LEFT_RF,0.942227273,0.886545455,0.894690909,0.929618768
RIGHT_TA_RIGHT_TS,0.914136364,0.882363636,0.843636364,0.875855327
RIGHT_TA_RIGHT_BF,0.944636364,0.889272727,0.878254545,0.91886608
RIGHT_TA_RIGHT_RF,0.974454545,0.897272727,0.865018182,0.958944282
RIGHT_TS_RIGHT_BF,0.935318182,0.885272727,0.899345455,0.876832845
RIGHT_TS_RIGHT_RF,0.936590909,0.886727273,0.814836364,0.913000978
RIGHT_BF_RIGHT_RF,0.956272727,0.898909091,0.849163636,0.938416422
