acc,model,shuffle,set,classification
0.992,RC,True,Tr,binary_6
1.0,RC,True,Tr,multi_6
0.985,RC,True,Tr,2-6_6
1.0,RC,True,Tr,1-6_6
0.997,RC,True,Tr,1-2_6
0.993,RC,True,Tr,binary_7
1.0,RC,True,Tr,multi_7
0.981,RC,True,Tr,2-6_7
1.0,RC,True,Tr,1-6_7
0.993,RC,True,Tr,1-2_7
0.993,RC,True,Tr,binary_5
1.0,RC,True,Tr,multi_5
0.997,RC,True,Tr,2-6_5
1.0,RC,True,Tr,1-6_5
1.0,RC,True,Tr,1-2_5
0.9840000000000001,RC,True,V,binary_6
0.899,RC,True,V,multi_6
0.9640000000000001,RC,True,V,2-6_6
0.9440000000000001,RC,True,V,1-6_6
0.9129999999999999,RC,True,V,1-2_6
0.987,RC,True,V,binary_7
0.9259999999999999,RC,True,V,multi_7
0.953,RC,True,V,2-6_7
0.955,RC,True,V,1-6_7
0.882,RC,True,V,1-2_7
0.987,RC,True,V,binary_5
0.905,RC,True,V,multi_5
0.986,RC,True,V,2-6_5
0.909,RC,True,V,1-6_5
0.892,RC,True,V,1-2_5
0.9159999999999999,RC,True,T,binary_6
0.597,RC,True,T,multi_6
0.966,RC,True,T,2-6_6
0.833,RC,True,T,1-6_6
0.779,RC,True,T,1-2_6
0.9690000000000001,RC,True,T,binary_7
0.655,RC,True,T,multi_7
0.932,RC,True,T,2-6_7
0.7390000000000001,RC,True,T,1-6_7
0.779,RC,True,T,1-2_7
0.9690000000000001,RC,True,T,binary_5
0.344,RC,True,T,multi_5
0.5720000000000001,RC,True,T,2-6_5
0.439,RC,True,T,1-6_5
0.409,RC,True,T,1-2_5
0.9890000000000001,RC,False,Tr,binary_6
0.9620000000000001,RC,False,Tr,multi_6
0.9840000000000001,RC,False,Tr,2-6_6
0.883,RC,False,Tr,1-6_6
0.904,RC,False,Tr,1-2_6
0.986,RC,False,Tr,binary_7
1.0,RC,False,Tr,multi_7
0.997,RC,False,Tr,2-6_7
1.0,RC,False,Tr,1-6_7
1.0,RC,False,Tr,1-2_7
0.977,RC,False,Tr,binary_5
0.89,RC,False,Tr,multi_5
0.997,RC,False,Tr,2-6_5
0.92,RC,False,Tr,1-6_5
0.937,RC,False,Tr,1-2_5
0.96,RC,False,V,binary_6
0.736,RC,False,V,multi_6
0.899,RC,False,V,2-6_6
0.693,RC,False,V,1-6_6
0.863,RC,False,V,1-2_6
0.9540000000000001,RC,False,V,binary_7
0.9259999999999999,RC,False,V,multi_7
0.8909999999999999,RC,False,V,2-6_7
0.807,RC,False,V,1-6_7
0.9,RC,False,V,1-2_7
0.929,RC,False,V,binary_5
0.7879999999999999,RC,False,V,multi_5
0.976,RC,False,V,2-6_5
0.843,RC,False,V,1-6_5
0.882,RC,False,V,1-2_5
0.9179999999999999,RC,False,T,binary_6
0.7809999999999999,RC,False,T,multi_6
0.9590000000000001,RC,False,T,2-6_6
0.902,RC,False,T,1-6_6
0.7240000000000001,RC,False,T,1-2_6
0.9590000000000001,RC,False,T,binary_7
0.655,RC,False,T,multi_7
0.9059999999999999,RC,False,T,2-6_7
0.7559999999999999,RC,False,T,1-6_7
0.6679999999999999,RC,False,T,1-2_7
0.9179999999999999,RC,False,T,binary_5
0.37,RC,False,T,multi_5
0.5529999999999999,RC,False,T,2-6_5
0.327,RC,False,T,1-6_5
0.318,RC,False,T,1-2_5
0.997,CP,True,Tr,binary_6
0.884,CP,True,Tr,multi_6
0.985,CP,True,Tr,2-6_6
0.985,CP,True,Tr,1-6_6
0.981,CP,True,Tr,1-2_6
0.992,CP,True,Tr,binary_7
1.0,CP,True,Tr,multi_7
0.987,CP,True,Tr,2-6_7
0.935,CP,True,Tr,1-6_7
0.973,CP,True,Tr,1-2_7
0.975,CP,True,Tr,binary_5
0.831,CP,True,Tr,multi_5
0.995,CP,True,Tr,2-6_5
0.892,CP,True,Tr,1-6_5
0.9570000000000001,CP,True,Tr,1-2_5
0.9940000000000001,CP,True,V,binary_6
0.7929999999999999,CP,True,V,multi_6
0.95,CP,True,V,2-6_6
0.888,CP,True,V,1-6_6
0.905,CP,True,V,1-2_6
0.986,CP,True,V,binary_7
0.912,CP,True,V,multi_7
0.976,CP,True,V,2-6_7
0.838,CP,True,V,1-6_7
0.9209999999999999,CP,True,V,1-2_7
0.977,CP,True,V,binary_5
0.78,CP,True,V,multi_5
0.98,CP,True,V,2-6_5
0.848,CP,True,V,1-6_5
0.8590000000000001,CP,True,V,1-2_5
0.925,CP,True,T,binary_6
0.7759999999999999,CP,True,T,multi_6
0.966,CP,True,T,2-6_6
0.8190000000000001,CP,True,T,1-6_6
0.733,CP,True,T,1-2_6
0.9890000000000001,CP,True,T,binary_7
0.655,CP,True,T,multi_7
0.927,CP,True,T,2-6_7
0.615,CP,True,T,1-6_7
0.725,CP,True,T,1-2_7
0.955,CP,True,T,binary_5
0.465,CP,True,T,multi_5
0.5820000000000001,CP,True,T,2-6_5
0.44799999999999995,CP,True,T,1-6_5
0.409,CP,True,T,1-2_5
0.9890000000000001,CP,False,Tr,binary_6
0.857,CP,False,Tr,multi_6
0.97,CP,False,Tr,2-6_6
0.996,CP,False,Tr,1-6_6
0.907,CP,False,Tr,1-2_6
0.9890000000000001,CP,False,Tr,binary_7
0.86,CP,False,Tr,multi_7
0.9670000000000001,CP,False,Tr,2-6_7
0.915,CP,False,Tr,1-6_7
0.977,CP,False,Tr,1-2_7
0.983,CP,False,Tr,binary_5
0.855,CP,False,Tr,multi_5
0.985,CP,False,Tr,2-6_5
0.779,CP,False,Tr,1-6_5
0.899,CP,False,Tr,1-2_5
0.976,CP,False,V,binary_6
0.736,CP,False,V,multi_6
0.907,CP,False,V,2-6_6
0.88,CP,False,V,1-6_6
0.8270000000000001,CP,False,V,1-2_6
0.981,CP,False,V,binary_7
0.736,CP,False,V,multi_7
0.855,CP,False,V,2-6_7
0.8420000000000001,CP,False,V,1-6_7
0.866,CP,False,V,1-2_7
0.9570000000000001,CP,False,V,binary_5
0.723,CP,False,V,multi_5
0.968,CP,False,V,2-6_5
0.626,CP,False,V,1-6_5
0.867,CP,False,V,1-2_5
0.925,CP,False,T,binary_6
0.6559999999999999,CP,False,T,multi_6
0.946,CP,False,T,2-6_6
0.7979999999999999,CP,False,T,1-6_6
0.6970000000000001,CP,False,T,1-2_6
0.9690000000000001,CP,False,T,binary_7
0.5670000000000001,CP,False,T,multi_7
0.8909999999999999,CP,False,T,2-6_7
0.7170000000000001,CP,False,T,1-6_7
0.71,CP,False,T,1-2_7
0.915,CP,False,T,binary_5
0.6459999999999999,CP,False,T,multi_5
0.41700000000000004,CP,False,T,2-6_5
0.196,CP,False,T,1-6_5
0.409,CP,False,T,1-2_5
0.992,CR,True,Tr,binary_6
0.897,CR,True,Tr,multi_6
0.971,CR,True,Tr,2-6_6
0.825,CR,True,Tr,1-6_6
0.871,CR,True,Tr,1-2_6
0.978,CR,True,Tr,binary_7
0.89,CR,True,Tr,multi_7
0.968,CR,True,Tr,2-6_7
0.965,CR,True,Tr,1-6_7
0.94,CR,True,Tr,1-2_7
0.977,CR,True,Tr,binary_5
0.871,CR,True,Tr,multi_5
0.98,CR,True,Tr,2-6_5
0.902,CR,True,Tr,1-6_5
0.946,CR,True,Tr,1-2_5
0.9840000000000001,CR,True,V,binary_6
0.8540000000000001,CR,True,V,multi_6
0.9640000000000001,CR,True,V,2-6_6
