,train,valid,test,rest data
LEFT_TA_LEFT_TS,0.9341191233809887,0.8686144470335185,0.8191855463148838,0.8061497326203209
LEFT_TA_LEFT_BF,0.9486846233137632,0.8956802294317978,0.8884427874964153,0.8608612866634257
LEFT_TA_LEFT_RF,0.9332676018464572,0.8790105753719305,0.8629194149698881,0.9005226057365094
LEFT_TS_LEFT_BF,0.8919912158831175,0.8711238573221007,0.8488672211069688,0.8171690163668773
LEFT_TS_LEFT_RF,0.9383319141307758,0.8659257931528948,0.8368224835101806,0.8536096256684492
LEFT_BF_LEFT_RF,0.9513736386859678,0.8953217422477147,0.8967593920275309,0.8917112299465241
RIGHT_TA_RIGHT_TS,0.9505669340743065,0.9035669474816276,0.8373960424433611,0.8600105331388754
RIGHT_TA_RIGHT_BF,0.9177161296105409,0.8858218318695107,0.8675078864353313,0.8744328309836331
RIGHT_TA_RIGHT_RF,0.9612781786402546,0.902491485929378,0.8719529681674792,0.8692675417274348
RIGHT_TS_RIGHT_BF,0.9671491955362345,0.8998028320487542,0.8812733008316604,0.8542780748663101
RIGHT_TS_RIGHT_RF,0.9719446062833326,0.9042839218497939,0.8168913105821624,0.8692067736185384
RIGHT_BF_RIGHT_RF,0.9214359342087572,0.8953217422477147,0.8392601089761973,0.8514624858207746
