,train,valid,test,rest data
dnn2,0.9991036615425984,0.9836888331242158,0.949240034413536,0.9586371738778156
LEFT,0.9900506431228432,0.9632550636314752,0.905936334958417,0.9229662939555988
RIGHT,0.9887061354367409,0.9594909481986019,0.9404932606825351,0.931797925781883
LEFT_TA_LEFT_TS,0.9180746649935015,0.8933500627352572,0.7978204760539145,0.8107275968238535
LEFT_TA_LEFT_BF,0.9341191233809887,0.9173687040688295,0.911958703756811,0.8917314859828229
LEFT_TA_LEFT_RF,0.9231389772778201,0.8987273704965048,0.8593346716375108,0.898253929671042
LEFT_TS_LEFT_BF,0.9405279433514095,0.9096612296110415,0.8616289073702323,0.831490034030141
LEFT_TS_LEFT_RF,0.9228252588177296,0.8933500627352572,0.8468597648408374,0.863595851563766
LEFT_BF_LEFT_RF,0.9245731188096625,0.909840473203083,0.8762546601663321,0.8732984929508993
RIGHT_TA_RIGHT_TS,0.947922735624972,0.9213120630937444,0.8434184112417551,0.8595851563766003
RIGHT_TA_RIGHT_BF,0.9368081387531932,0.9182649220290374,0.892601089761973,0.8965119105493436
RIGHT_TA_RIGHT_RF,0.9468471294760902,0.9220290374619108,0.8647834815027244,0.8643453249068223
RIGHT_TS_RIGHT_BF,0.9345224756868193,0.9110951783473741,0.883567536564382,0.8478974234321828
RIGHT_TS_RIGHT_RF,0.9360462510644019,0.917189460476788,0.8295096071121307,0.8721438988818668
RIGHT_BF_RIGHT_RF,0.9546452740554834,0.9268686144470335,0.8837109262976771,0.8722856911359586
