,train,valid,test,rest data
baseline,1.0,0.9747266535221366,0.9609979925437339,0.9694336412250851
drop_IEMG,1.0,0.9720379996415128,0.9574132492113565,0.9651798736023335
drop_SSI,1.0,0.9718587560494713,0.9513908804129624,0.9621819802301086
drop_WL,1.0,0.9734719483778455,0.9611413822770289,0.9668813806514341
drop_ZC,1.0,0.9747266535221366,0.9609979925437339,0.9682385350834549
drop_SSC,1.0,0.9711417816813049,0.94766274734729,0.9658280667638957
drop_WAMP,1.0,0.9718587560494713,0.9611413822770289,0.9704464430400259
drop_skew,1.0,0.9713210252733465,0.952251218812733,0.965341921892724
drop_Acti,1.0,0.9729342176017207,0.95526240321193,0.9664357478528601
drop_AR,1.0,0.9734719483778455,0.9559793518784055,0.9665167719980554
drop_HIST,1.0,0.9702455637210969,0.9607112130771437,0.9683398152649489
drop_MDF,1.0,0.9727549740096791,0.9588471465443075,0.9663749797439637
drop_MNF,1.0,0.9722172432335544,0.9564095210782908,0.9632352941176471
