,train,valid,test,rest data
baseline,1.0,0.9704248073131385,0.95526240321193,0.959690487765354
drop_IEMG,1.0,0.9720379996415128,0.9568396902781761,0.963903743315508
drop_SSI,1.0,0.9731134611937623,0.9575566389446516,0.9616553232863393
drop_WL,1.0,0.9716795124574297,0.956696300544881,0.9658280667638957
drop_ZC,1.0,0.9734719483778455,0.9577000286779467,0.9652608977475288
drop_SSC,1.0,0.9740096791539703,0.9555491826785202,0.9620807000486145
drop_WAMP,1.0,0.9689908585768059,0.9513908804129624,0.96147301895965
drop_skew,1.0,0.9741889227460119,0.9555491826785202,0.9629922216820612
drop_Acti,1.0,0.9698870765370138,0.9584169773444221,0.9618173715767299
drop_AR,1.0,0.973651191969887,0.9548322340120448,0.9627694052827742
drop_HIST,1.0,0.9673776662484316,0.9569830800114711,0.9623035164479015
drop_MDF,1.0,0.9732927047858039,0.9532549469457987,0.9606830335439961
drop_MNF,1.0,0.9697078329449722,0.9480929165471752,0.9584953816237238
drop_Mean_Coe,1.0,0.9734719483778455,0.9496702036134212,0.9641670717873927
drop_Min_Coe,1.0,0.9697078329449722,0.9561227416117006,0.9647544968400583
drop_Mean_Scale,1.0,0.9725757304176376,0.9571264697447662,0.961797115540431
drop_Median_Scale,1.0,0.9718587560494713,0.9505305420131919,0.9606020093988008
