,train,valid,test,rest data
baseline,1.0,0.9747266535221366,0.9609979925437339,0.9694336412250851
LEFT,1.0,0.9516042301487722,0.9280183538858617,0.9411157024793388
RIGHT,1.0,0.9539343968453128,0.917981072555205,0.9297318100794036
LEFT_TA_LEFT_TS,1.0,0.8978311525362969,0.8204760539145397,0.805906660184735
LEFT_TA_LEFT_BF,1.0,0.9180856784369958,0.8778319472325782,0.860051045211473
LEFT_TA_LEFT_RF,1.0,0.9050008962179602,0.8538858617722971,0.9010695187165776
LEFT_TS_LEFT_BF,1.0,0.9066140885463345,0.8700889016346429,0.8351563766002269
LEFT_TS_LEFT_RF,1.0,0.8937085499193403,0.8452824777745913,0.862380489385837
LEFT_BF_LEFT_RF,1.0,0.9136045886359563,0.9042156581588758,0.8949116836817371
RIGHT_TA_RIGHT_TS,0.9995518307712993,0.9155762681484136,0.844708918841411,0.8669988656619673
RIGHT_TA_RIGHT_BF,1.0,0.9125291270837067,0.8726699168339547,0.8852090422946038
RIGHT_TA_RIGHT_RF,0.9974902523192758,0.9103782039792078,0.8763980498996272,0.8716374979743964
RIGHT_TS_RIGHT_BF,1.0,0.914142319412081,0.8904502437625466,0.8598484848484849
RIGHT_TS_RIGHT_RF,0.9999551830771299,0.9164724861086216,0.8201892744479495,0.8683155080213903
RIGHT_BF_RIGHT_RF,0.9996414646170394,0.9155762681484136,0.8498709492400344,0.8562429103872954
