,train,valid,test,rest data
baseline,1.0,0.9704248073131385,0.95526240321193,0.959690487765354
LEFT,1.0,0.957698512278186,0.9235732721537138,0.9346135148274186
RIGHT,1.0,0.9566230507259366,0.9287353025523373,0.9392521471398477
LEFT_TA_LEFT_TS,1.0,0.9021329987452948,0.8412675652423286,0.8179995138551288
LEFT_TA_LEFT_BF,1.0,0.9209535759096612,0.8731000860338399,0.8660873440285205
LEFT_TA_LEFT_RF,1.0,0.9110951783473741,0.8584743332377401,0.9012518230432669
LEFT_TS_LEFT_BF,0.9995966476941693,0.9082272808747087,0.8729566963005448,0.8350145843461352
LEFT_TS_LEFT_RF,1.0,0.8983688833124216,0.8458560367077718,0.8639807162534435
LEFT_BF_LEFT_RF,1.0,0.9146800501882058,0.8986234585603671,0.8888753848646896
RIGHT_TA_RIGHT_TS,1.0,0.9232837426062018,0.8735302552337253,0.881643979906012
RIGHT_TA_RIGHT_BF,0.9982521400080671,0.91288761426779,0.8900200745626613,0.897362664073894
RIGHT_TA_RIGHT_RF,1.0,0.9238214733823266,0.8669343275021508,0.875
RIGHT_TS_RIGHT_BF,1.0,0.9213120630937444,0.9062231144250071,0.8656011991573489
RIGHT_TS_RIGHT_RF,1.0,0.9227460118300771,0.8282190995124749,0.8824947334305623
RIGHT_BF_RIGHT_RF,1.0,0.9281233195913247,0.8548895899053628,0.8612866634257008
