,train,valid,test,rest data
drop_IEMG,1.0,0.96719842265639,0.9677373100086034,0.989811213741695
drop_SSI,1.0,0.9664814482882237,0.9674505305420132,0.989588397342408
drop_WL,0.9996862815399095,0.957698512278186,0.9579868081445368,0.9889807162534435
drop_ZC,1.0,0.9611041405269761,0.9638657872096358,0.9892845567979258
drop_SSC,0.9978936046251065,0.960745653342893,0.9614281617436191,0.9888794360719494
drop_WAMP,0.9991484784654686,0.9600286789747267,0.9599942644106682,0.9880084265111003
drop_skew,1.0,0.962896576447392,0.9654430742758818,0.9891630205801328
drop_Acti,0.9997759153856496,0.9589532174224772,0.9609979925437339,0.988595851563766
drop_AR,1.0,0.9603871661588098,0.9620017206767996,0.9888591800356507
drop_HIST,0.9929637431093981,0.9569815379100197,0.9541152853455692,0.9872994652406417
drop_MDF,0.9968179984762247,0.9575192686861445,0.9559793518784055,0.9894466050883163
drop_MNF,1.0,0.9600286789747267,0.9622885001433897,0.9871374169502511
drop_mDWT,1.0,0.9655852303280158,0.9670203613421279,0.9903378706854643
